Open,High,Low,Close,Adj Close,Volume,MA_1,MA_2,MA_3,MA_4,MA_5,RSI1,RSI1MAL,RSI1MAH,RSI2,RSI2MAL,RSI2MAH,RSI3,RSI3MAL,RSI3MAH,Compare_Close,CRS,CRSMAL,CRSMAH,Sto_main,Sto_signal,MACD,MACD_signal
122.8199997,126.3700027,122.2799988,124.7399979,124.6077881,35528500,,,,,,,,,,,,,,,380.8200073,0.327556314,,,,,,
127.3799973,129.0500031,125.8499985,127.3700027,127.2350082,32397100,,,,,,,,,,,,,,,383.7600098,0.331900145,,,,,,
126.1299973,128.5200043,124.5400009,126.9400024,126.8054581,25447100,,,,,,,,,,,,,,,379.3800049,0.334598558,,,,,,
128.9700012,130.3300018,126.0400009,130.0200043,129.8822021,27584500,,,,,,,,,,,,,,,388.0799866,0.335034036,,,,,,
131.1600037,132.9499969,129.2799988,129.4700012,129.3327789,26649100,,,,,,,,,,,,,,,387.8599854,0.333806028,,,,,,
127.2699966,133.4400024,127.1500015,132.9900055,132.8490448,28684400,,,,,,,,,,,,,,,390.5799866,0.340493651,,,,,,
130.9600067,133.8500061,130.3399963,132.8899994,132.7491455,25423000,,,,,,,,,,,,,,,395.519989,0.335988074,,,,,,
133.4400024,137.6799927,131.7599945,136.7100067,136.5651093,30757700,,,,,,,,,,,,,,,396.9599915,0.344392406,,,,,,
134.9700012,137.3899994,134.8399963,136.9799957,136.8348083,22423800,,,,,,,,,,,,,,,398.5,0.343739011,,,,,,
136.1799927,136.75,134.25,135.3600006,135.2165375,21147600,,,,,,,,,,,,,,,397.769989,0.340297168,,,,,,
135.8099976,137.25,132.8000031,133.0200043,132.8790131,20215500,,,,,,,,,,,,,,,391.4899902,0.339778813,,,,,,
132.4900055,137.4499969,132.1399994,136.1499939,136.0056915,28625200,,,,,,,,,,,,,,,388.6400146,0.350324179,,,,,,
135.8899994,139.9400024,134.6100006,139.3699951,139.2222748,28688600,,,,,,,,,,,,,,,395.8800049,0.35205111,,,,,,
139.2899933,143.7599945,138.6600037,143.2700043,143.1181488,27470100,,,,,,,,,,,,,,,400.6300049,0.357611768,,,,,,
141.6900024,145,141.3600006,143.1399994,142.9882813,21970200,,,,,,82.01112235,,,82.01112235,,,82.01112235,,,400.2000122,0.357671152,,,,,,
141.2200012,143.1699982,140.3099976,141.5,141.3500214,26622000,,,,,,77.26309194,,,77.26309194,,,77.26309194,,,400.3500061,0.353440734,,,,,,
144.3999939,147.5099945,143.3000031,147.3000031,147.1438751,25482100,,,,,,81.37083557,,,81.37083557,,,81.37083557,,,404.75,0.363928358,,,,,,
148.2400055,153.1900024,147.3899994,151.7400055,151.5791779,35771900,,,,,,83.7857825,,,83.7857825,,,83.7857825,,,405.6799927,0.374038671,,,92.11567864,91.18809938,,
149.4100037,151.1199951,146.9499969,147.0599976,146.904129,28040100,,,,,,73.03816651,,,73.03816651,,,73.03816651,,,400.5899963,0.367108512,,,89.97095384,91.00937393,,
147.9499969,149.8800049,147.5200043,148.9700012,148.8121033,29842100,137.249501,,,,,74.47711067,,,74.47711067,,,74.47711067,,,406.480011,0.366487889,,,84.14088642,88.7425063,,
148.0299988,153.5800018,147.0599976,153.1199951,152.9577026,55661000,138.6685009,,,,,77.31056457,,,77.31056457,,,77.31056457,,,410.7999878,0.372736124,,,85.294272,86.46870409,,
183.3800049,197.1600037,180.1600037,188.7700043,188.569931,150475700,141.738501,,,,,88.80656232,,,88.80656232,,,88.80656232,,,416.7799988,0.452924816,,,88.83994013,86.09169952,,
183.4700012,196.7700043,182.8899994,186.5299988,186.3322906,76809700,144.7180008,,,,,85.86280389,80.4362267,,85.86280389,80.4362267,,85.86280389,80.4362267,,412.3500061,0.452358424,,,89.54642332,87.89354515,,
186.5299988,190.6999969,185.5200043,186.0599976,185.862793,42483800,147.5200005,,,,,85.22445818,80.79326402,,85.22445818,80.79326402,,85.22445818,80.79326402,,409.8299866,0.453993128,,,84.55859305,87.64831883,,
185.5800018,193.7799988,184.3999939,191.6199951,191.4169006,47080700,150.6275002,,,,,86.50282114,81.8199006,,86.50282114,81.8199006,,86.50282114,81.8199006,,415.1900024,0.461523625,,,86.01967716,86.70823117,,
190,190.8300018,182.9199982,183.4299927,183.2355804,36139100,153.1494995,,,,,76.06331137,81.23017568,,76.06331137,81.23017568,,76.06331137,81.23017568,,410.6499939,0.446682078,,,84.15246584,84.91024535,,
186.1300049,186.6499939,177.2700043,177.9199982,177.7314301,37118800,155.4009995,,,,,69.94724402,79.6925603,,69.94724402,79.6925603,,69.94724402,79.6925603,,407.0899963,0.437053231,,,78.88005925,83.01740075,,
176.3500061,178.8899994,173.3500061,174.1499939,173.9654083,33433600,157.2729988,,,,,66.03482448,78.91441118,,66.03482448,78.91441118,,66.03482448,78.91441118,,408.0400085,0.426796369,,,68.22856624,77.08703044,,
178.2200012,181,175.8200073,179.4299927,179.2398224,31463200,159.3954987,,,,,68.67729828,78.26998758,,68.67729828,78.26998758,,68.67729828,78.26998758,,412.8299866,0.434634107,,,65.14960126,70.75274225,,
177.1600037,181.5099945,175.8800049,179.4799957,179.2897644,24034600,161.6014984,,,,,68.70213184,77.31349506,,68.70213184,77.31349506,,68.70213184,77.31349506,,412.6400146,0.434955383,,,65.17061431,66.18292727,,
176.4199982,178.1900024,175.3300018,177.1600037,176.972229,25308900,163.8084984,,,,,66.08423644,74.78879218,,66.08423644,74.78879218,,66.08423644,74.78879218,,413.980011,0.427943376,,,65.38469749,65.23497102,,
172.75,175.8500061,171.7899933,172.4400024,172.2572327,25827500,165.6229988,,,,,60.9921441,72.02538554,,60.9921441,72.02538554,,60.9921441,72.02538554,,408.2799988,0.422357213,,,59.36940907,63.30824029,,
170.2200012,173.1799927,169.6999969,172.8800049,172.6967773,24171300,167.2984993,,,,,61.29157838,69.36617667,,61.29157838,69.36617667,,61.29157838,69.36617667,,407.2600098,0.42449541,,,54.15700695,59.63703784,,
174.3099976,178.1699982,171.8800049,172.0800018,171.8976135,34592600,168.7389992,,,,,60.38398268,66.46408351,,60.38398268,66.46408351,,60.38398268,66.46408351,,399.0899963,0.431180945,,,50.74794679,54.75812094,11.78199268,14.76599733
171.0700073,172.7599945,169.6900024,171.1199951,170.9386292,22433200,170.137999,,,,,59.25015149,64.59595463,,59.25015149,64.59595463,,59.25015149,64.59595463,,398.5400085,0.429367169,,,35.56090291,46.82195222,10.83337751,13.97947337
172,173.6900024,169.3800049,172.0399933,171.8576508,20017800,171.6649986,,,,,60.02481746,63.49346279,,60.02481746,63.49346279,,60.02481746,63.49346279,,400.6600037,0.429391483,,,21.61910189,35.97598386,10.04009337,13.19159737
168.6399994,170.7200012,167.6600037,170.3899994,170.2094116,19791300,172.8194984,,,,,57.89893564,62.58947515,,57.89893564,62.58947515,,57.89893564,62.58947515,,396.3800049,0.429865274,,,8.456310057,21.87877162,9.172533993,12.38778469
171.8800049,173.1199951,169.0599976,169.5399933,169.3603058,19277000,173.7094978,,,,,56.78322213,61.26791113,,56.78322213,61.26791113,,56.78322213,61.26791113,,397.730011,0.426269048,,,9.120263178,13.06522504,8.320485175,11.57432479
171.8999939,177.5500031,171.8699951,174.9400024,174.7545929,46051100,175.1034981,,,,,61.81715615,60.50291383,71.58417416,61.81715615,60.50291383,71.58417416,61.81715615,60.50291383,71.58417416,396.2600098,0.441477813,,,16.35639829,11.31099051,7.988875176,10.85723487
174.5899963,177.8500061,173.0500031,173.4199982,173.2361908,30998400,176.3259979,,,,,59.70887268,59.79454008,70.69208418,59.70887268,59.79454008,70.69208418,59.70887268,59.79454008,70.69208418,394.7399902,0.439327158,,,22.9830628,16.15324143,7.516771559,10.18914221
172.3800049,175.0099945,171.4299927,174.5299988,174.3450165,17352000,177.3964981,,,,,60.76131315,59.76889219,70.03201303,60.76131315,59.76889219,70.03201303,60.76131315,59.76889219,70.03201303,397.8099976,0.43872703,,,37.11818755,25.48588288,7.14977565,9.581268894
178.9199982,186.6199951,177.0500031,185.25,185.0536499,45877700,177.2204979,,,,,69.14401219,60.64138484,69.54294009,69.14401219,60.64138484,69.54294009,69.14401219,60.64138484,69.54294009,404.1900024,0.458324053,,,57.56963665,39.223629,7.63592111,9.192199337
